,Date,price_bitcoin,open_bitcoin,high_bitcoin,low_bitcoin,vol_bitcoin,Change_bitcoin_%,price_dowjones,open_dowjones,high_dowjones,low_dowjones,vol_dowjones,change_dowjones,price_nasdaq,open_nasdaq,high_nasdaq,low_nasdaq,vol_nasdaq,change_nasdaq,price_sp,open_sp,high_sp,low_sp,change_sp,trend_bitcoins
2916,2013-04-20,126.6,118.5,132.0,115.0,74.36,6.87,14547.51,14537.14,14553.73,14444.03,207.2,0.07,3206.06,3169.32,3210.03,3168.33,494.38,1.25,1555.25,1541.61,1555.89,1539.4,0.88,16.0
2917,2013-04-19,118.5,109.0,136.4,105.5,257.17,8.69,14547.51,14537.14,14553.73,14444.03,207.2,0.07,3206.06,3169.32,3210.03,3168.33,494.38,1.25,1555.25,1541.61,1555.89,1539.4,0.88,24.0
2918,2013-04-18,109.0,93.1,113.0,86.0,172.98,17.13,14537.14,14618.59,14650.26,14495.29,158.05,0.56,3166.36,3212.24,3212.97,3154.96,460.3,1.2,1541.61,1552.03,1554.38,1536.03,0.67,32.0
2919,2013-04-17,93.1,68.4,98.8,63.3,327.63,36.15,14618.59,14756.78,14756.78,14560.81,168.01,0.94,3204.67,3236.25,3236.98,3186.08,490.88,1.84,1552.01,1574.57,1574.57,1543.69,1.43,29.0
2920,2013-04-16,68.4,82.4,84.5,50.0,572.35,17.03,14756.78,14599.2,14761.73,14599.2,126.31,1.08,3264.63,3239.05,3265.84,3231.45,387.38,1.5,1574.57,1552.36,1575.35,1552.36,1.43,45.0
2921,2013-04-15,82.4,90.0,102.0,71.5,236.67,8.46,14599.2,14865.06,14865.06,14598.58,161.68,1.79,3216.49,3277.58,3283.4,3213.46,484.38,2.38,1552.36,1588.84,1588.84,1552.28,2.3,36.0
2922,2013-04-14,90.0,93.0,110.0,84.4,166.28,3.23,14865.06,14865.14,14865.21,14790.57,119.57,0.0,3294.95,3292.39,3296.5,3271.02,374.58,0.16,1588.85,1593.3,1593.3,1579.97,0.28,44.0
2923,2013-04-13,93.0,117.0,130.0,85.5,238.35,20.51,14865.06,14865.14,14865.21,14790.57,119.57,0.0,3294.95,3292.39,3296.5,3271.02,374.58,0.16,1588.85,1593.3,1593.3,1579.97,0.28,47.0
2924,2013-04-12,117.0,124.9,140.0,54.3,556.47,6.33,14865.06,14865.14,14865.21,14790.57,119.57,0.0,3294.95,3292.39,3296.5,3271.02,374.58,0.16,1588.85,1593.3,1593.3,1579.97,0.28,82.0
2925,2013-04-11,124.9,165.0,188.7,110.2,118.75,24.3,14865.14,14802.24,14887.51,14785.36,144.57,0.42,3300.16,3289.59,3306.95,3287.74,432.12,0.09,1593.37,1587.73,1597.35,1586.17,0.36,100.0
2926,2013-04-10,165.0,230.0,266.0,105.0,190.18,28.26,14802.24,14673.46,14826.66,14673.46,120.52,0.88,3297.25,3246.06,3299.16,3245.8,420.21,1.83,1587.73,1568.61,1589.07,1568.61,1.22,77.0
2927,2013-04-09,230.0,187.5,240.1,186.5,105.84,22.67,14673.46,14613.48,14716.46,14598.5,128.58,0.41,3237.86,3229.81,3249.95,3215.02,371.76,0.48,1568.61,1563.11,1573.89,1560.92,0.35,58.0
2928,2013-04-08,187.5,162.3,194.9,162.6,114.25,15.53,14613.48,14565.25,14613.48,14497.8,106.68,0.33,3222.25,3207.15,3222.26,3195.57,333.25,0.57,1563.07,1553.26,1563.07,1548.63,0.63,50.0
2929,2013-04-07,162.3,142.6,164.9,142.6,60.96,13.79,14565.25,14606.11,14606.11,14434.43,131.25,0.28,3203.86,3174.0,3206.21,3168.88,400.59,0.65,1553.28,1559.98,1559.98,1539.5,0.43,34.0
2930,2013-04-06,142.6,142.3,143.9,139.5,18.29,0.22,14565.25,14606.11,14606.11,14434.43,131.25,0.28,3203.86,3174.0,3206.21,3168.88,400.59,0.65,1553.28,1559.98,1559.98,1539.5,0.43,38.0
2931,2013-04-05,142.3,132.1,144.9,130.2,68.59,7.72,14565.25,14606.11,14606.11,14434.43,131.25,0.28,3203.86,3174.0,3206.21,3168.88,400.59,0.65,1553.28,1559.98,1559.98,1539.5,0.43,34.0
